,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
1206,blanket curfew - no symptoms,,2020-03-22,"Korean government will restrict the operation of some facilities, such as religious facilities, indoor sports, and entertainment facilities which are at high risk of infection.",,South Korea,"KCDC (Government, https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366621&tag=&nPage=1#wrap"
1207,risk communication,,2020-03-18,The KCDC strongly recommended canceling or delaying of all international travel on non-urgent matters.,,South Korea,"KCDC (Government, https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366586&tag=&nPage=2"
1213,international travel ban - risk countries,,2020-03-13,Suspension of visas in all entry points,,Kuwait,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/koweit/"
1214,international travel ban - risk countries,,2020-11-03,All foreigners are banned (with exception of residents and family members) from entering the country,,Kuwait,"U.S. Embassy in Kuwait (Government, https://kw.usembassy.gov/covid-19-information/"
1215,blanket curfew - no symptoms,,2020-03-22,Nationwide curfew from 5:00pm until 4:00am,,Kuwait,"U.S. Embassy in Kuwait (Government, https://kw.usembassy.gov/covid-19-information/"
1216,blanket curfew - no symptoms,,2020-03-22,"People who are found in violation of the curfew order will be imprisoned for up to three years and fined 10,000 KD.",,Kuwait,"U.S. Embassy in Kuwait (Government, https://kw.usembassy.gov/covid-19-information/"
1217,limited nonessential business closure,,2020-03-22,"All private medical offices, clinics, and laboratories are closed until further notice. Public and private hospitals, and private hospital clinics remain open.",,Kuwait,"U.S. Embassy in Kuwait (Government, https://kw.usembassy.gov/covid-19-information/"
1223,international travel ban - risk countries,,2020-03-14,"People transited in COVID countries Caterogy 1 (such as France, Germany, Italy and Spain) in the previous 30 days can't enter the country",,Kyrgyzstan,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/kirghizstan/"
1225,international traveller screening - risk countries,,2020-03-14,,,Kyrgyzstan,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/kirghizstan/"
1227,international travel ban - risk countries,,2020-03-14,Land border with China,,Kyrgyzstan,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/kirghizstan/"
1229,international traveller screening - risk countries,,2020-02-17,,,Lao PDR,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it/country/LAO"
1230,international traveller screening - risk countries,,2020-02-17,"Travellers who have been to China in the last 2 months, need to present a COVID-free health certificate",,Lao PDR,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it/country/LAO"
1232,international travel ban - risk countries,,2020-03-17,Latvians and people with residency will be able to enter and tourist will be able to leave.,,Latvia,"CNA (Media, https://www.channelnewsasia.com/news/world/latvia-to-close-borders-to-stop-virus-from-spreading-12539130"
1234,risk communication,,2020-03-13,Recommendation to cancel all unneccessary travel abroad,,Latvia,"Ministry of Foreign Affairs (Government, https://www.mfa.gov.lv/aktualitates/zinas/65661-aktualizeti-celojuma-bridinajumi-vairakam-valstim"
1236,hospital specialisation - partial,,2020-01-31,General meeting with health system representatives to assess potential capacities; introduction of specific surveillance algorithm,,Latvia,"Ministry of Health (Government, https://spkc.gov.lv/lv/aktualitates/preses-relizes/get/nid/763"
1237,state of emergency,,2020-03-14,Various measures triggered by declaration,,Latvia,"Ministry of Economics (Government, https://www.em.gov.lv/en/news/27406-regarding-the-declaration-of-emergency-situation"
1238,economic stimulus,,2020-03-19,"Measures will include investment loans, working capital financing, including credit lines (credit lines and overdrafts), financial leasing and financial leasing limits to companies adversely affected by the COVID-19 coronavirus. ",,Latvia,"Ministry of Economics (Government, https://em.gov.lv/lv/jaunumi/27474-covid-19-ietekmes-mazinasanai-komersantiem-bus-pieejami-aizdevumi-apgrozamajiem-lidzekliem-un-kreditbrivdienu-garantijas"
1243,international travel ban - risk countries,,2020-03-14,No visas issued during emergency period,,Latvia,"Ministry of Economics (Government, https://em.gov.lv/lv/jaunumi/27397-par-arkartejas-situacijas-izsludinasanu-14032020"
1244,international travel ban - risk countries,,2020-03-16,travelers are not permitted to enter,,Lebanon,"French Embassy (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/liban/"
1249,international travel ban - risk countries,,2020-12-03,border with Syria closed indeterminatly,,Lebanon,"US Embassy (Government, https://lb.usembassy.gov/health-alert-u-s-embassy-beirut-lebanon-3/"
1250,state of emergency,,2020-03-16,state of emergency declared,,Lebanon,"Anadolu (Media, https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/lebanon-declares-state-of-emergency-due-to-coronavirus/1767277"
1251,international travel ban - all countries,,2020-03-16,shut down of borders and limitation of movment until 29 March,,Lebanon,"France24 (Media, https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus"
1252,international traveller screening - risk countries,,2020-10-03,thermal screenings at entry points,,Lebanon,"Ministry of Health (Government, https://www.moph.gov.lb/userfiles/files/News/%D8%A7%D9%84%D8%AE%D8%B7%D8%A9%20%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9.pdf"
1254,international travel ban - risk countries,,2020-03-18,closure of Beirut international airport and seaports as well as all other entry ports between 18 and 29 March,,Lebanon,"Anadolu (Media, https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/lebanon-declares-state-of-emergency-due-to-coronavirus/1767277"
1256,limited nonessential business closure,,2020-11-03,reduction of public sector employees working,,Lebanon,"US Embassy (Government, https://lb.usembassy.gov/health-alert-u-s-embassy-beirut-lebanon-3/"
1260,international traveller screening - risk countries,,2020-06-03,,,Lesotho,"US Embassy (Government, https://ls.usembassy.gov/lesothos-new-directive-on-coronavirus-international-arrivals-now-asked-to-self-isolate-for-14-days/"
1263,state of emergency,,2020-03-18,Lesotho declares covid-19 a national emergency,,Lesotho,"Government of Lesotho (Government, https://www.gov.ls/lesotho-government-identifies-national-command-centre-for-covid-19/"
1264,international traveller screening - risk countries,,2020-09-03,For everyone.,,Liberia,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it/country/LBR"
1266,coronavirus education activities,,2020-03-13,Schools and Communities targeted COVID messages in WASH campains by National Red Cross Society.,,Liberia,"IFRC (Other organisations, https://reliefweb.int/sites/reliefweb.int/files/resources/MDR00005OU6.pdf"
1267,state of emergency,,2020-03-22,Liberia Ministry of Health declares state of emergency,,Liberia,"US Embassy in Liberia (Government, https://lr.usembassy.gov/covid-19-information/"
1269,limited nonessential business closure,,2020-03-22,"All bars, night clubs, casinos, betting centres, cinemas, video clubs and entertainment centres are hereby closed. All beaches (public and private) are also closed.",,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1270,limited nonessential business closure,,2020-03-22,"Chruches, mosques, religiour centres and other places of worship are closed.",,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1272,limited nonessential business closure,,2020-03-22,"Restaurants and cookshops are only allowed 5 customers at one time, all keeping a distance of six feet. Takeaways are encouraged.",,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1273,limited nonessential business closure,,2020-03-22,Barber shops and beauty salons are closed. Personal care services should be performed at home.,,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1274,limited nonessential business closure,,2020-03-22,Banks only permitted 5 people inside at a time and those outside bank should be 6 feet apart while waiting.,,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1279,limited nonessential business closure,,2020-03-22, No street selling by adults or children is permitted during this period.,,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1280,risk communication,,2020-03-22,Mandatory hand washing with soap and clean water is hereby ordered at home and in all establishments.,,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1281,risk communication,,2020-03-22,"Community dwellers are asked to report people who show signs and symptoms of the coronavirus such as coughing, fever, and difficulty breathing to the relevant health and sevurity authorities.",,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1282,risk communication,,2020-10-03,Citizens strongly advised against visiting countries with 200 or more cases of covid-19. Citizens of countries with 200 or more cases strongly discouraged from visiting Liberia. ,,Liberia,"Ministry of Health (Government, http://moh.gov.lr/wp-content/uploads/Travel-Advisory.pdf"
1283,risk communication,,2020-03-22,All travel in and outside the montserrado and margibi areas are discouraged. ,Montserrado & Margibi,Liberia,"Ministry of Health (Government, https://emansion.gov.lr/doc/COVID-19%20Declaration%20of%20National%20Health%20Emergency%20-%20MoH.pdf"
1284,state of emergency,,2020-03-15,state of emergency declared and establishment of emergency committees in municipalities,,Libya,"LibyaObserver (Media, https://www.libyaobserver.ly/inbrief/officials-call-establishment-emergency-committees-wake-coronavirus-scare"
1285,international travel ban - risk countries,,2020-03-16,closure of all border crossings,,Libya,"Anadolu (Media, https://www.aa.com.tr/en/middle-east/libyan-govt-suspends-flights-in-wake-of-covid-19/1768168"
1289,limited nonessential business closure,,2020-03-16,government employees advised to take annual leave,,Libya,"LibyaObserver (Media, https://www.libyaobserver.ly/news/libya-closes-land-and-air-ports-takes-measures-prevent-coronavirus"
1290,international travel ban - risk countries,,2020-03-16,Closing of all air and land ports of entry for two weeks,,Libya,"NRC MERO (Other organisations, Internal Document circulated"
1292,hospital specialisation - partial,,2020-03-16,The Government of National Accord allocated half a billion dinars to prevent the spread of coronavirus in Libya.,,Libya,"Libya Observer (Media, https://www.libyaobserver.ly/news/libya-closes-land-and-air-ports-takes-measures-prevent-coronavirus"
1293,state of emergency,,2020-03-16,,,Libya,"Libya Observer (Media, https://www.libyaobserver.ly/news/libya-closes-land-and-air-ports-takes-measures-prevent-coronavirus"
1294,risk communication,,2020-02-24,Libyan consulat in Milan urges citizens to be vigilant and careful if they are in the regions of Northern Italy,,Libya,"Libya Observer (Media, https://www.libyaobserver.ly/inbrief/libyan-consulate-milan-issues-warning-citizens-coronavirus"
1295,hospital specialisation - partial,,2020-03-24,Import of 150 additional ventilators,,Libya,"Libya Observer (Media, https://www.libyaobserver.ly/inbrief/libya-imports-additional-ventilators-against-possible-covid-19-outbreak"
1296,blanket curfew - no symptoms,,2020-03-18,"Curfew set from 6pm to 6am, extended on 23rd March for 10 days",Eastern Libya,Libya,"Reuters (Media, https://www.reuters.com/article/us-health-coronavirus-libya-curfew/eastern-libya-imposes-curfew-over-pandemic-idUSKBN21526W"
1300,international travel ban - risk countries,,2020-03-18,"Schellenberg and Mauren will be closed, other areas kept open for transit and people",,Liechtenstein,"U.K. Government travel advice (Government, https://www.gov.uk/foreign-travel-advice/liechtenstein/coronavirus"
1301,economic stimulus,,2020-03-19,"Package included deferral of taxing, short-term work, and liquidity measures",,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/132-massnahmenpaket-wirtschaft-corona.pdf?t=637206550288692988"
1302,hospital specialisation - partial,,2020-03-23,Capacities increased by postponing non essential surgeries and adding capacities at hospitals; drive-through testing implemented,,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/140-corona-regierung-0323.pdf?t=637206550288692988"
1303,limited nonessential business closure,,2020-03-19,"Events are being banned, public services closed if it is not possible to stick to safety measures; essential services not affected",,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/126-corona-generelles-veranstaltungsverbot-weitere-schliessungen.pdf?t=637206550288692988"
1304,coronavirus education activities,,2020-03-18,Information hotline implemented,,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/131-corona-hotline-0318.pdf?t=637206550288692988"
1305,coronavirus education activities,,2020-03-14,Skiers coming home from abroad should observe their health carefully,,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/118-corona-rueckkehrer-skiferien-0314.pdf?t=637206550288692988"
1306,limited nonessential business closure,,2020-11-03,Visits in elderly homes banned,,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/111-corona-besuchverbot-pflegeheim.pdf?t=637206550288692988"
1307,coronavirus education activities,,2020-02-26,General awareness information for population,,Liechtenstein,"Government (Government, https://www.regierung.li/media/attachments/80-coronavirus.pdf?t=637206550288692988"
1309,economic stimulus,,2020-03-19,Sunday-ban on trucks being lifted to ensure smooth supply lines,,Liechtenstein,"Government (Government, https://www.llv.li/medienmitteilungen/detail/3624/aussetzung-sonntagsfahrverbot-am-19032020"
1310,international travel ban - risk countries,,2020-03-16,"With execeptions of freight, diplomatic persons, and their family members",,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1311,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-16,In country travels limitations and 1 meter distance between people.,,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1312,international travel ban - risk countries,,2020-03-16,Cruises can't enter ports.,,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1315,limited nonessential business closure,,2020-03-16,"Bars, restaurants, hotels and alike to be closed",,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1317,hospital specialisation - partial,,2020-03-16,Capacity freed and non-essential health services to be postponed,,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1318,limited nonessential business closure,,2020-03-16,"Attending all inpatient social service establishments, foster families, group and community homes shall be prohibited.",,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1319,risk communication,,2020-03-16,The citizens of the Republic of Lithuania are adviced against leaving the country,,Lithuania,"Ministry of Health (Government, http://sam.lrv.lt/en/news/quarantine-announced-throughout-the-territory-of-the-republic-of-lithuania-attached-resolution"
1320,state of emergency,,2020-02-26,,,Lithuania,"Embassy of Lithuania to Finland (Government, https://fi.mfa.lt/fi/en/"
1324,hospital specialisation - partial,,2020-03-20,Purchasing of additional 2mio respirators and 6mio masks from China,,Lithuania,"LRT news (Media, https://www.lrt.lt/en/news-in-english/19/1153522/lithuania-buying-2m-respirators-and-6m-masks-from-china"
1325,hospital specialisation - partial,,2020-12-03,The Lithuanian government has decided to use 1.2 million euros from the state reserve for coronavirus prevention.,,Lithuania,"LRT news (Media, https://www.lrt.lt/en/news-in-english/19/1150609/lithuanian-government-allocates-eur1-2m-for-coronavirus-prevention"
1328,economic stimulus,,2020-03-16,"Economic plan, including loans, deferral of payments and taxes",,Lithuania,"LRT news (Media, https://www.lrt.lt/en/news-in-english/19/1152162/lithuanian-government-s-business-support-plan-10-key-measures"
1329,blanket curfew - no symptoms,,2020-03-16,traffic is limited to essential trips only ,,Luxembourg,"Government of Iceland (Government, https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/15-nouvelles-mesures-coronavirus.html"
1332,coronavirus education activities,,2020-02-29,General awareness and general hygiene recommendations,,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B02-fevrier%2B29-coronavirus.html"
1333,state of emergency,,2020-03-18,,,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html"
1334,blanket curfew - no symptoms,,2020-03-17,"Leaving is allowed for essentials, to get fresh air and work (if home office is not applicable)",,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html"
1335,economic stimulus,,2020-03-17,"Deferral of tax payments, reimbursement of VAT credit balances, liquidity measures",,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html"
1336,limited nonessential business closure,,2020-03-13,"Visits to hospitals, elderly homes and alike banned (with exceptions)",,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B12-cdg-extraordinaire-coronavirus.html"
1338,risk communication,,2020-03-13,Vulnerable people adviced to avoid crowds and adapt their behaviour to be less at-risk (e.g. people with existing conditions),,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B12-cdg-extraordinaire-coronavirus.html"
1339,hospital specialisation - partial,,2020-03-18,Establishment of separate COVID centers to avoid transmission in health settings,,Luxembourg,"Ministry of Health (Government, https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B18-covid19-maisonsmedicales.html"
1342,limited nonessential business closure,,2020-03-20,Stopping of long-distance train services to Paris with the TGV,,Luxembourg,"Government (Government, https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/23-adaptations-transport.html"
1343,hospital specialisation - partial,,2020-03-23,"Through online platform volunteers are being recruited and all health professionals are mandated to register that do not already work (e.g. retired, students, ...)",,Luxembourg,"Government (Government, https://coronavirus.gouvernement.lu/fr/communications-officielles.gouvernement%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B23-plateforme-benevoles.html"
1348,international travel ban - risk countries,,2020-03-20,"Everyone from Europe, La Réunion, Mayotte, China, South Korea and Iran cannot enter the country.",,Madagascar,"Ministry of Foreign Affairs - Italy (Government, http://www.viaggiaresicuri.it"
1350,international travel ban - risk countries,,2020-03-15,Cruise ships not be permitted to berth in Madagascar’s ports for 30 days. ,,Madagascar,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus"
1351,blanket curfew - no symptoms,,2020-03-23,A curfew is in place from 20:00 to 05:00.,,Madagascar,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus"
1352,state of emergency,,2020-03-21,"National ""Health State of Emergency""",,Madagascar,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus"
1354,limited nonessential business closure,,2020-03-23,"Closure of administrative offices for 2 weeks, but can be extended. All public services are closed except for health workers, the judiciary, public security, municipal sanitation and roadworks, JIRAMA, telecommunications and the media.",,Madagascar,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus"
1356,international traveller screening - risk countries,,2020-03-21, Sanitary checks have been established at exit points from Antananarivo and other major cities.,,Madagascar,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus"
1359,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-23,"All public transportation, urban, suburban and national, is suspended.",,Madagascar,"US Embassy (Government, https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/summary-of-president-rajoelinas-statement-03-22-20/"
1360,international traveller screening - risk countries,,2020-02-03,With questionnaires on symptoms and travel history.,,Malawi,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1362,state of emergency,,2020-03-20,President announces state of disaster over covid-19.,,Malawi,"Journal du Cameroon (Media, https://www.journalducameroun.com/en/malawi-mutharika-declares-coronavirus-state-of-disaster/"
1365,international traveller screening - risk countries,,2020-03-20,We are screening for Coronavirus on all travellers arriving in Malawi through our borders and international airports.,,Malawi,"Ministry of Health (Social media, https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R"
1367,risk communication,,2020-03-20,Government is advising the general public to avoid non-essential travel to the affected countries.,,Malawi,"Ministry of Health (Social media, https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R"
1369,international travel ban - risk countries,,2020-03-20,"Government has banned travel of foreign nationals from countries highly affected by coronavirus disease. However, SADC countries are exempted. ",,Malawi,"Ministry of Health (Social media, https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R"
1370,international travel ban - risk countries,,2020-03-20,Government has temporarily suspended issuance of visa to citizens of countries highly affected by coronavirus;,,Malawi,"Ministry of Health (Social media, https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R"
1372,international traveller screening - risk countries,,2020-11-03,,,Malaysia,"PortugalNews (Media, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1374,international travel ban - risk countries,,2020-03-13,People travelling from a number of countries either complete ban or 14 days quarantine (if permanent residents of Malaysia),,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1375,international travel ban - risk countries,,2020-08-03,No cruse ships allowed in ports.,,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
1376,risk communication,,2020-03-13,"All 14,500 Malaysian attendees of the 'tabligh' (religious) gathering at Seri Petaling Mosque held from Feb 27 to March 1 have been advised to come forward for testing after confirmed covid-19 cases ",,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/13/covid-19-14500-malaysians-attended-sri-petaling-mosque-programme-not-5000?utm_source=outbreak.my"
1380,international travel ban - risk countries,,2020-03-17,Malaysians working in neighbouring countries of Singapore and Thailand will not be allowed to commute to work beginning Wednesday (March 18),,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/17/those-working-in-singapore-thailand-will-have-to-stay-home-during-movement-control-order-says-immigration-dg?utm_source=outbreak.my"
1381,economic stimulus,,2020-03-17,"Workers who are issued a quarantine order for Covid-19 cannot be forced to take their annual leave, says the Human Resources Ministry. “Workers who were given a quarantine or observation or home surveillance order cannot be forced to use their annual leave for the quarantine period, as the annual leave is part of the workers' rights. “Employers can order any of their workers who are unwell to not attend work and to grant them paid leave. “Employers also cannot bar their workers from coming to the workplace without a quarantine order issued by any registered medical practitioner, ” the Ministry said in a statement on Tuesday (March 17). Employers who do not provide paid sick leave for their workers for the quarantine would be committing an offence under Section 60F of the Employment Act, it added.",,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/17/workers-under-quarantine-can039t-be-forced-to-take-annual-leave-says-human-resources-ministry?ut"
1382,blanket curfew - no symptoms,,2020-03-18,"Movement Control Order (MCO) in place from March 18-31 in place under the Prevention and Control of Infectious Diseases Act 1988 and the Police Act 1967. Government and private offices apart from those providing essential services are closed. All shops other than businesses dealing with daily essentials – such as food and pharmaceutical stores are closed. The Chief Minister of Sarawak has announced that people will only be allowed to leave their homes in order to buy daily necessities, essential goods and services.",,Malaysia,"Malaysia Govt (Government, https://www.malaysia.gov.my/portal/index"
1383,international travel ban - risk countries,,2020-03-18,"The restrictions under the ‘Movement Control Order’, which is in effect till at least 31 March, ban all foreigners from entering the country.",,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1384,international traveller screening - risk countries,,2020-03-18,"For foreign long-term pass holders, only those working in the country’s essential services sector will be allowed entry - they must obtain a letter of confirmation from their employers and liaise with the Malaysian Immigration Department.",,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1385,international traveller screening - risk countries,,2020-03-18,Malaysian citizens and permanent residents holding work permits from third countries who wish to return to their place of work will be allowed to do so but will not be able to re-enter before 31 March. Supporting documents need to be provided at the point of departure.,,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1386,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-18,Malaysians and foreign travellers (who are currently in Malaysia) are not allowed to fly from Peninsula Malaysia to East Malaysia and vice versa.,,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1387,international travel ban - risk countries,,2020-03-18,"Holders of Expatriate Pass, Student Pass, Dependent Pass, Temporary Work Pass and MM2H Pass are not allowed to enter Malaysia during the MCO period.",,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1388,international traveller screening - risk countries,,2020-03-18,Malaysian citizens and long-term pass holders returning to Malaysia will be subject to a health inspection and 14-day quarantine.,,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1391,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-18,The issuance of special permits allowing interstate travel has been momentarily suspended.,,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
1392,economic stimulus,,2020-03-22,"Bank Negara Malaysia to help affected businesses and individuals, United Overseas Bank (Malaysia) Bhd (UOB Malaysia) are providing relief measures such as flexible repayments to its customers in Malaysia affected by the outbreak of Covid-19.",,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/22/covid-19-sarawak-limits-all-business-operation-hours-from-7am-7pm"
1394,coronavirus education activities,,2020-03-22,"District police have reminded the public that only they, the Malaysian Volunteer Corps (Rela) and the Armed Forces are allowed to enforce the movement control order (MCO). OCPD Asst Comm Arifai Tarawe said this on Sunday (March 22) in response to a video online that purported to show voluntary patrols enforcing the order.",,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/22/covid-19-sarawak-limits-all-business-operation-hours-from-7am-7pm"
1395,international travel ban - risk countries,,2020-08-03,Malaysia bans cruise ships indefinitely,,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/08/malaysia-bans-cruise-ships?utm_source=outbreak.my"
1396,international travel ban - risk countries,,2020-12-03," Denmark joins China, South Korea, Japan, Iran and Italy on Malaysia’s Covid-19 entry ban list.",,Malaysia,"Malay Mail (Media, https://www.malaymail.com/news/malaysia/2020/03/12/covid-19-malaysia-adds-denmark-to-entry-ban-list/1845916?utm_source=outbreak.my"
1399,international travel ban - risk countries,,2020-03-18,"Beginning Wednesday, the border between Malaysia and Singapore has been locked down, except for lorries and people with special permission.",,Malaysia,"The Star (Media, https://www.thestar.com.my/news/nation/2020/03/18/johor-govt-hopes-to-reopen-border-with-s039pore?utm_source=outbreak.my"
1400,blanket curfew - no symptoms,,2020-03-18,"From 18 - 31 March 2020, Sarawakians entering the state are subject to the 14-day Stay Home Notice, issued by the State Department of Health and they are not allowed to travel out of Sarawak throughout the 14-day MCO period.",East Malaysia: Sarawak,Malaysia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
